CATEGORY, TITLE, LOW, HIGH,URL
WINE,Francis Coppola Diamond Collection Ivory Label Cabernet Sauvignon,9.99,33.09,https://products0.imgix.drizly.com/ci-francis-coppola-diamond-collection-ivory-label-cabernet-sauvignon-0536362a83aa1988.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Yellow Tail Shiraz,3.99,39.99,https://products3.imgix.drizly.com/ci-yellow-tail-shiraz-db7f10045e489134.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Layer Cake Malbec,9.99,32.09,https://products1.imgix.drizly.com/ci-layer-cake-malbec-1b69b13161e4a315.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Casal Garcia Vinho Verde White,4.47,14.99,https://products3.imgix.drizly.com/ci-casal-garcia-vinho-verde-8517a6b47f77d0cb.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Veuve Clicquot Yellow Label Gift Box,42.99,89.99,https://products3.imgix.drizly.com/ci-veuve-clicquot-yellow-label-gift-box-646d30182be0f67b.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,90+ Cellars Sauvignon Blanc (Lot 2),7.49,17.99,https://products0.imgix.drizly.com/ci-90-cellars-sauvignon-blanc-lot-2-f1fa15f18688e84a.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Beringer White Zinfandel,3.98,64.99,https://products1.imgix.drizly.com/ci-beringer-white-zinfandel-c0a59b5bbe14491d.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Honig Napa Valley Sauvignon Blanc,13.95,23.99,https://products2.imgix.drizly.com/ci-honig-napa-valley-sauvignon-blanc-77402aa4191a90bd.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Korbel Extra Dry California Champagne,9.97,24.99,https://products0.imgix.drizly.com/ci-korbel-extra-dry-champagne-caae1855ba804fb2.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Bogle Pinot Noir,8.79,28.09,https://products0.imgix.drizly.com/ci-bogle-pinot-noir-646dfb84b5f5bfbb.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Bogle Petite Sirah,7.99,18.71,https://products0.imgix.drizly.com/ci-bogle-petite-sirah-5c672a6116659fca.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Zapata Catena Malbec,15.68,29.99,https://products0.imgix.drizly.com/ci-zapata-catena-malbec-e3adfc9f909495f8.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Bartenura Moscato,8.88,22.99,https://products2.imgix.drizly.com/ci-bartenura-moscato-495dc489a534ef34.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Jam Jar Sweet Shiraz,6.99,44.99,https://products3.imgix.drizly.com/ci-jam-jar-sweet-shiraz-7ceea726f5f7bed7.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Charles Smith Kung Fu Girl Riesling,3.99,25.09,https://products0.imgix.drizly.com/ci-charles-smith-kung-fu-girl-riesling-af6f5c4ef47e8a4e.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Charles Smith The Velvet Devil Merlot,6.99,27.09,https://products0.imgix.drizly.com/ci-the-velvet-devil-a074a7d55d278d01.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,90+ Cellars Pinot Grigio (Lot 42),7.49,15.99,https://products3.imgix.drizly.com/ci-90-cellars-pinot-grigio-lot-42-881f1cd92d81cb0b.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Nicolas Feuillatte Champagne Brut,24.99,58.99,https://products2.imgix.drizly.com/ci-nicolas-feuillatte-champagne-brut-cb399e452dacb545.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Martini & Rossi Rosso Sweet Vermouth,6.39,17.99,https://products3.imgix.drizly.com/ci-martini-rossi-rosso-sweet-vermouth-25204f358e882c95.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Concha y Toro Casillero Del Diablo Cabernet Sauvignon,6.99,23.99,https://products2.imgix.drizly.com/ci-casillero-del-diablo-cabernet-sauvignon-10db9c88cc9a1787.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,90+ Cellars Prosecco (Lot 50),7.98,17.99,https://products2.imgix.drizly.com/ci-90-cellars-prosecco-lot-50-fd997a5ec8304704.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Dom Perignon Vintage Champagne,134.99,1800.00,https://products3.imgix.drizly.com/ci-dom-perignon-vintage-champagne-4670425b168e7621.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,14 Hands Cabernet Sauvignon,7.99,24.99,https://products2.imgix.drizly.com/ci-14-hands-cabernet-sauvignon-09a16a44ba7289c1.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Perrier-Jouet Grand Brut Champagne,29.95,89.99,https://products2.imgix.drizly.com/ci-perrier-jouet-grand-brut-champagne-cd47f4486d692d9b.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Woodbridge Pinot Grigio,4.78,17.99,https://products3.imgix.drizly.com/ci-woodbridge-pinot-grigio-960f1cc61565a4a8.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Miraval Provence Rosé,17.99,39.99,https://products1.imgix.drizly.com/ci-miraval-provence-rose-3e3fa1da4bdcc5bc.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Dreaming Tree Cabernet Sauvignon,10.99,20.99,https://products0.imgix.drizly.com/ci-dreaming-tree-cabernet-sauvignon-27dc2bf45d852b29.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,SIMI Alexander Valley Cabernet Sauvignon,12.99,31.99,https://products1.imgix.drizly.com/ci-simi-alexander-valley-cabernet-sauvignon-cb6316876cafdd2f.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,The Pinot Project Rosé,9.87,17.99,https://products1.imgix.drizly.com/ci-the-pinot-project-rose-4f68ebc66b81cc0f.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Barefoot Riesling,4.99,12.09,https://products0.imgix.drizly.com/ci-barefoot-riesling-b99aedef795b0db7.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Domaine Chandon Brut Classic,13.98,39.09,https://products3.imgix.drizly.com/ci-domaine-chandon-brut-classic-d9ad56d9e6328549.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Rombauer Chardonnay,19.99,62.09,https://products1.imgix.drizly.com/ci-rombauer-chardonnay-3199313d213a97fd.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Black Box Malbec,None,None,https://products1.imgix.drizly.com/ci-black-box-malbec-f8108a13b8e228f1.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Bogle Sauvignon Blanc,6.99,18.71,https://products3.imgix.drizly.com/ci-bogle-sauvignon-blanc-72db7d77b8f1e2db.png?auto=format%2Ccompress&fm=jpeg&q=20
